€100,000 	 Martin Tom's Cottage - Lot 4, Tourmakeady, Mayo
€590,000 	 Derrypark Lodge & Cottages - Lot 1a, Tourmakeady, Co Mayo, F12 VR83
€285,000 	 Glenbeg Cottage - Lot 2, Tourmakeady, Co Mayo, F12 D284
€309,000 	 2 Cluain Padraig, The Quay, Westport, Co Mayo, F28 V970
€95,000 	 Site Sold SPP, Carrowbaun, Westport, Co Mayo
€255,000  -€10,000 on 30th Aug 19 	 Golf Course Road, Carrowholly, Westport, Co Mayo, F28 X330
€145,000 	 Flughany, Doocastle, Co. Mayo
€60,000 	 2 Waldrons Terrace, Upper Main Street, Ballyhaunis, Co. Mayo
€295,000 	 The Quay, Westport, Co Mayo, F28 N7N3
€220,000 	 The Clover, Rossport, Mayo
€125,000 	 29 Hazelhill Downs, Ballyhaunis, Mayo
€350,000 	 Prison South, Balla, Co. Mayo
AMV €50,000 	 2 Forest Grove, Killybrone, Killala, Mayo
€245,000 	 Carrs Cottage, Bunowen, Louisburgh, Mayo
POA 	 Lecanvey, Westport, Mayo
€270,000 	 The Arches, Castlebar Street, Newport, Mayo
€205,000  -€5,000 on 17th Sep 20 	 6 Chapel Street, Louisburgh, Mayo
€335,000 	 Buckfield, Kilmeena, Westport, Co Mayo, F28 HW53
AMV €70,000 	 Walsh Street, Ballina, Mayo
€355,000 	 Ballynanerroon Beg, Partry, Mayo
